Channel Mode,Channel Name,RX Frequency(MHz),TX Frequency(MHz),Band Width,Scan List,Squelch,RX Ref Frequency,TX Ref Frequency,TOT[s],TOT Rekey Delay[s],Power,Admit Criteria,Auto Scan,Rx Only,Lone Worker,VOX,Allow Talkaround,Send GPS Info,Receive GPS Info,Private Call Confirmed,Emergency Alarm Ack,Data Call Confirmed,Allow Interrupt,DCDM Switch,Leader/MS,Emergency System,Contact Name,Group List,Color Code,Repeater Slot,In Call Criteria,Privacy,Privacy No.,GPS System,CTCSS/DCS Dec,CTCSS/DCS Enc,Rx Signaling System,Tx Signaling System,QT Reverse,Non-QT/DQT Turn-off Freq,Display PTT ID,Reverse Burst/Turn-off Code,Decode 1,Decode 2,Decode 3,Decode 4,Decode 5,Decode 6,Decode 7,Decode 8
1,FM.Colleyville U,441.9,447.9,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,None,110.9,0,0,3,2,1,0,0,0,0,0,0,0,0,0
1,FM.Dallas VHF 67,146.7,146.1,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,110.9,110.9,0,0,3,2,1,0,0,0,0,0,0,0,0,0
1,FM.Dallas VHF 88,146.88,146.28,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,110.9,110.9,0,0,3,2,1,0,0,0,0,0,0,0,0,0
1,FM.Euless UHF,442.9,447.9,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,None,110.9,0,0,3,2,1,0,0,0,0,0,0,0,0,0
1,FM.Ft Worth V94,146.94,146.34,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,None,110.9,0,0,3,2,1,0,0,0,0,0,0,0,0,0
1,FM.Haltom VHF,145.33,144.73,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,110.9,110.9,0,0,0,2,1,0,0,0,0,0,0,0,0,0
1,FM.Hurst Simplex,146.4,146.4,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,15,0,0,0,0,0,None,None,0,0,0,2,1,1,1,1,1,1,1,1,1,1
1,FM.Hurst UHF FM,442.85,447.85,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,110.9,110.9,0,0,3,2,1,0,0,0,0,0,0,0,0,0
1,FM.Hurst VHF FM,147.1,147.7,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,110.9,110.9,0,0,3,2,1,0,0,0,0,0,0,0,0,0
1,FM.Keller VHF,147.2,147.8,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,None,110.9,0,0,3,2,1,0,0,0,0,0,0,0,0,0
1,FM.NETARC VHF 54,145.4,144.8,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,None,110.9,0,0,3,2,1,0,0,0,0,0,0,0,0,0
1,FM.NRH VHF,145.37,144.77,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,None,110.9,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,G.Audio Test,441.3375,446.3375,0,7,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,98,1,1,1,0,0,0,0,None,None,0,0,3,2,1,1,0,0,0,0,0,0,0,0
2,G.DCI Bridge,441.3375,446.3375,0,7,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,4,1,1,0,0,0,0,None,None,0,0,3,2,1,1,0,0,0,0,0,0,0,0
