No.,Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33,
9,Digital CH,2.Local,443.40000,448.40000,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Digital CH,2.NTX Wide,443.40000,448.40000,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: NTX Wide,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Digital CH,2.S.Plains,443.40000,448.40000,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: S.Plains,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Digital CH,2.TC Metro,443.40000,448.40000,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Metro 2,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Digital CH,2.Texas,443.40000,448.40000,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Texas,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Digital CH,3.Midwest,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: MW Region,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Digital CH,5.NTX Wide,440.08750,445.08750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,9,No,Normal Mode,1,No,Always,None,None,Priority Contacts: NTX Wide,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Digital CH,5.HurstARC,440.08750,445.08750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,9,No,Normal Mode,1,No,Always,None,None,Priority Contacts: HurstARC,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Digital CH,3.California,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: California,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Digital CH,3.Chicago 1,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Chicago 1,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Digital CH,3.Chicago 2,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Chicago 2,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Digital CH,3.DCI Bridge,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: DCI Bridge,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Digital CH,5.Texas,440.08750,445.08750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,9,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Texas,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Digital CH,3.Illinois,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Illinois,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Digital CH,3.Local,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Digital CH,3.Massachusett,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Massachusetts,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Digital CH,3.NTX Wide,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: NTX Wide,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Digital CH,3.Michigan,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Michigan,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Digital CH,3.Minnesota,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Minnesota,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Digital CH,3.Mountain,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Mountain,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Digital CH,3.N.America,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: N.America,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Digital CH,3.Northeast,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: NE Region,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Digital CH,3.Ohio,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Ohio,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Digital CH,3.Southeast,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: SE Region,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Digital CH,3.Texas,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Texas,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Digital CH,3.Southwest,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: SW Region,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Digital CH,3.TAC1,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TAC1,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Digital CH,3.TAC310,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TAC310,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Digital CH,3.TAC311,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TAC311,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Digital CH,3.Texas Nexus,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Texas Nexus,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Digital CH,3.Tennessee,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Tennessee,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Digital CH,3.TRBO6 C1,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TRBO6 Comm1,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Digital CH,3.TRBO6 C2,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TRBO6 Comm2,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Digital CH,3.UA Eng 1,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: UAe 1,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Digital CH,3.UA Eng 2,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: UAe 2,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Digital CH,3.USA,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: USA,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Digital CH,3.Washington,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Washington,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Digital CH,3.Wisconsin,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Wisconsin,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Digital CH,3.WW,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Worldwide,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Digital CH,3.WWe,443.26250,448.26250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: WW English,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Digital CH,4.WW,440.53750,445.53750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Worldwide,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Digital CH,4.Local,440.53750,445.53750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Metro 2,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Digital CH,4.N.America,440.53750,445.53750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: N.America,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Digital CH,4.Tarrant Metr,440.53750,445.53750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Metro 2,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Digital CH,4.WWe,440.53750,445.53750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: WW English,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Digital CH,4.Texas,440.53750,445.53750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Texas,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Digital CH,4.BM 3148,440.53750,445.53750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: BM 3148,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Digital CH,4.NTX Wide,440.53750,445.53750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: NTX Wide,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Digital CH,4.S.Plains,440.53750,445.53750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: S.Plains,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Digital CH,4.Cactus,440.53750,445.53750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Cactus,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Digital CH,5.Texas,441.72500,446.72500,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Texas,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Digital CH,5.Worldwide,441.72500,446.72500,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Worldwide,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Digital CH,5.N.America,441.72500,446.72500,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: N.America,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Digital CH,5.TAC310,441.72500,446.72500,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TAC310,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Digital CH,5.DCI Bridge,441.72500,446.72500,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: DCI Bridge,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Digital CH,5.NTX Wide,441.72500,446.72500,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: NTX Wide,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Digital CH,5.S.Plains,441.72500,446.72500,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: S.Plains,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Digital CH,6.Texas,443.27500,448.27500,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,9,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Texas,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Digital CH,6.BM 3148,443.27500,448.27500,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,9,No,Normal Mode,1,No,Always,None,None,Priority Contacts: BM 3148,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Digital CH,6.Oklahoma,443.27500,448.27500,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,9,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Oklahoma,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Digital CH,6.NTX Wide,443.27500,448.27500,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,9,No,Normal Mode,1,No,Always,None,None,Priority Contacts: NTX Wide,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Digital CH,6.TC Metro,443.27500,448.27500,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,9,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Metro 2,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Digital CH,7.Worldwide,441.33750,446.33750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Worldwide,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Digital CH,7.N.America,441.33750,446.33750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: N.America,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Digital CH,7.WWe,441.33750,446.33750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: WW English,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Digital CH,7.NTX Wide,441.33750,446.33750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: NTX Wide,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Digital CH,7.Local,441.33750,446.33750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Digital CH,7.TAC310,441.33750,446.33750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TAC310,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Digital CH,7.DCI Bridge,441.33750,446.33750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: DCI Bridge,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Digital CH,7.Texas,441.33750,446.33750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Texas,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Digital CH,7.Parrot,441.33750,446.33750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Parrot,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Digital CH,7.Audio Test,441.33750,446.33750,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Audio Test,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Digital CH,8.Texas,440.66250,445.66250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Texas,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Digital CH,8.Worldwide,440.66250,445.66250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Worldwide,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Digital CH,8.N.America,440.66250,445.66250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: N.America,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Digital CH,8.WWe,440.66250,445.66250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: WW English,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Digital CH,8.TAC310,440.66250,445.66250,Mid,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,ID-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TAC310,Favorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
